"Number of Batches","Total Number of Physicians (received from Vendor)","Total Number of Physicians (our side - double check)"
"1","4147","4536"
"1","1853","1880"
"1","2477","2561"
"1","2266","2913"
"1","384","2167"
"1","999","N/A"
"1","752","756"
"1","1487","1651"
"1","1182","1190"
"1","3337","3398"
"1","994","1011"
"1","839","839"
"1","1459","1453"
"1","702","885"
"1","1391","1451"
"1","371","4748"
"1","553","895"
"1","2676","2889"
"1","7778","8406"
"1","459","1697"
"1","705","757"
"1","N/A","N/A"
"1","691","705"
"1","2124","2149"
"1","2271","2312"
"1","1125","1247"
"1","1511","1523"
"1","538","544"
"1","2525","3122"
"1","3500","3584"
"1","1012","1800"
"1","2468","2628"
"1","296","302"
"1","802","1047"
"1","428","423"
"1","1697","1791"
"1","875","993"
"1","4731","4977"
"1","810","1237"
"1","5878","4536"
"1","1449","1569"
"1","N/A","5037"
"1","998","1000"
"1","5377","1516"
"1","1624","1832"
"1","764","788"
"1","543","579"
"1","52","55"
"1","9335","9319"
"1","653","674"
"1","2300","N/A"
"1","1168","1197"
"1","1227","1235"
"1","3079","3299"
"1","1406","1606"
"1","927","1071"
"1","19585","5971"
"1","961","1034"
"1","2409","2345"
"1","533","1869"
"2","880","1837"
"2","849","910"
"2","3991","N/A"
"2","2394","2971"
"2","482","492"
"2","2147","2477"
"2","1617","1737"
"2","163","467"
"2","426","N/A"
"2","961","1000"
"2","827","859"
"2","4639","4925"
"2","1322","4925"
"2","2728","2882"
"2","888","1041"
"2","3504","64"
"2","763","1054"
"2","640","1007"
"2","1642","1725"
"2","3394","3505"
"2","4689","5117"
"2","7810","8404"
"2","974","1137"
"2","2089","2252"
"2","35","2363"
"2","1023","1193"
"2","680","777"
"2","363","375"
"2","543","552"
"2","99","3274"
"2","423","over 4000"
"2","2859","3052"
"2","1775","2016"
"2","857","860"
"2","445","464"
"2","1873","2026"
"2","2391","N/A"
"2","1466","N/A"
"2","3026","3192"
"2","522","745"
"2","8579","9026"
"2","218","220"
"2","677","157"
"2","876","917"
"2","1737","N/A"
"2","1398","1447"
"2","1294","1337"
"2","1264","1322"
"2","1785","1820"
"2","1123","622"
"2","171","170"
"2","4188","5037"
"2","3666","3833"
"2","1258","1249"
"2","985","4160"
"2","3004","3414"
"2","160","164"
"2","1512","2125"
"2","88","100"
"2","546","6070"
"3","987","1089"
"3","663","675"
"3","422","432"
"3","734","1141"
"3","595","1123"
"3","504","110"
"3","397","401"
"3","478","462"
"3","608","601"
"3","426","425"
"3","1042","1128"
"3","989","11785"
"3","469","464"
"3","696","439"
"3","200","199"
"3","3431","3893"
"3","258","256"
"3","702","712"
"3","530","609"
"3","504","673"
"3","1790","1766"
"3","325","384"
"3","1488","1166"
"3","1376","3004"
"3","595","9"
"3","972","8404"
"3","177","12446"
"3","1531","1556"
"3","592","over 430"
"3","65","2 locations: 556/69"
"3","1110","1121"
"3","3043","N/A"
"3","3331","3716"
"3","1993","N/A"
"3","578","586"
"3","3070","3220"
"3","428","over 4000"
"3","250","250"
"3","3484","2124"
"3","488","613"
"3","1020","1039"
"3","1907","N/A"
"3","275","276"
"3","344","347"
"3","344","139"
"3","2356","3190"
"3","316","323"
"3","889","893"
"3","1367","1547"
"3","258","12446"
"3","567","606"
"3","923","949"
"3","3377","3757"
"3","38","12446"
"3","840","2642"
"3","785","845"
"3","1939","2090"
"3","5786","4536"
"3","357","374"
"3","589","600"
"3","1248","N/A"
"3","961","1076"
"3","2051","2680"
"3","453","511"
"4","313","313"
"4","575","575"
"4","2492","2867"
"4","1071","1090"
"4","243","241"
"4","639","N/A"
"4","955","1695"
"4","1488","1541"
"4","655","4242"
"4","720","N/A"
"4","N/A","629"
"4","510","646"
"4","218","218"
"4","507","514"
"4","665","676"
"4","187","218"
"4","845","889"
"4","1221","1221"
"4","9194","9319"
"4","1105","1327"
"4","958","979"
"4","376","560"
"4","266","280"
"4","182","171"
"4","483","483"
"4","441","2125"
"4","325","301"
"4","955","954"
"4","642","645"
"4","454","455"
"4","785","794"
"4","839","900"
"4","1206","1228"
"4","N/A","251"
"4","5601","N/A"
"4","162","232"
"4","314","491"
"4","1000","1000"
"4","8350","2016"
"4","647","2642"
"4","630","649"
"4","1935","2019"
"4","1380","3833"
"4","1714","N/A"
"4","455","475"
"4","368","400"
"4","529","536"
"4","1384","1512"
"4","112","704"
"4","422","424"
"4","1146","1161"
"4","333","1286"
"4","153","152"
"4","293","292"
"4","259","264"
"4","631","N/A"
"4","615","615"
"4","225","242"
"4","615","684"
"4","496","491"
"4","414","412"
"4","2684","3227"
"4","1492","1577"
"4","445","449"
"4","760","764"
"4","1073","1071"
"4","968","988"
"4","628","N/A"
"4","996","4307"
"4","512","540"
"4","529","525"
"5","1300","1428"
"5","1555","1852"
"5","310","312"
"5","345","357"
"5","5609","6428"
"5","5749","N/A"
"5","422","426"
"5","662","660"
"5","143","143"
"5","738","739"
"5","1427","2030"
"5","6408","7280"
"5","737","767"
"5","83","84"
"5","845","977"
"5","357","356"
"5","34","35"
"5","713","715"
"5","421","428"
"5","101","100"
"5","5707","6603"
"5","3248","3563"
"5","1411","3833"
"5","10937","15264"
"5","332","348"
"5","254","N/A"
"5","695","477"
"5","308","310"
"5","1112","1138"
"5","574","574"
"5","427","481"
"5","116","N/A"
"5","782","775"
"5","2411","2874"
"5","6778","7280"
"5","567","578"
"5","337","352"
"5","416","460"
"5","384","435"
"5","252","246"
"5","14184","15164"
"5","219","224"
"5","857","870"
"5","263","278"
"5","390","395"
"5","361","369"
"5","570","584"
"5","1082","1083"
"5","N/A","95"
"5","381","389"
"5","142","141"
"5","8979","8938"
"5","529","N/A"
"5","346","343"
"5","127","144"
"5","566","566"
"5","248","262"
"5","419","423"
"5","1674","1801"
"5","918","945"
"5","609","2882"
"5","394","N/A"
"5","588","570"
"5","N/A","263"
"5","200","19559"
"5","2038","2252"
"5","284","283"
"5","261","260"
"5","N/A","N/A"
"5","187","N/A"
"5","263","269"
"5","1383","5357"
"5","479","495"
"5","188","188"
"6","1506","N/A"
"6","5550","9174"
"6","2030","2030"
"6","8719","993"
"6","163","163"
"6","12","12"
"6","245","321"
"6","595","595"
"6","14233","15164"
"6","167","169"
"6","446","453"
"6","536","561"
"6","479","588"
"6","448","458"
"6","1869","2693"
"6","158","157"
"6","125","128"
"6","124","127"
"6","279","N/A"
"6","372","375"
"6","602","586"
"6","182","182"
"6","199","196"
"6","1016","1245"
"6","834","917"
"6","1921","2867"
"6","587","550"
"6","631","728"
"6","432","433"
"6","285","284"
"6","5239","6070"
"6","447","473"
"6","832","4602"
"6","6448","N/A"
"6","1814","2019"
"6","272","641"
"6","170","170"
"6","552","554"
"6","573","575"
"6","8298","9021"
"6","410","422"
"6","671","684"
"6","153","191"
"6","300","N/A"
"6","N/A","N/A"
"6","122","119"
"6","278","281"
"6","171","171"
"6","158","158"
"6","189","N/A"
"6","596","603"
"6","213","211"
"6","252","245"
"6","2237","N/A"
"6","120","121"
"6","1631","1856"
"6","1223","1281"
"6","14238","15164"
"6","4594","5117"
"6","553","573"
"6","69","69"
"6","202","202"
"6","181","1640"
"6","312","317"
"6","8938","9021"
"6","186","186"
"6","179","181"
"6","500","N/A"
"6","1013","1110"
"6","532","527"
"6","1659","1867"
"6","261","N/A"
"6","283","281"
"6","597","623"
"6","290","348"
